id,rating,proximity,latitude,longitude,lowprice,highprice
204424,3.5,23.34187,37.70059,-121.93261,49,65
114898,3.5,23.39016,37.70119,-121.91845,46,62
112843,3.0,23.48752,37.55513,-122.28271,42,57
108519,3.5,23.525331,37.56292,-122.27665,43,58
151530,3.0,23.775553,37.70532,-121.88788,50,67
326023,3.0,23.814445,37.56367,-122.28248,43,58
192649,3.0,24.284338,37.70256,-121.81565,51,68
138168,3.0,24.304138,37.7029,-121.81586,51,68
141249,4.0,24.34771,37.55677,-122.30025,43,58
203931,3.0,24.69585,37.69835,-121.77371,51,69
